code,biao,Work_type,Work_profit,Health_type,Health_profit,Repay_type,Repay_profit,Loan_type,Loan_profit,Investment_type,Investment_profit,Venture_type,Venture_profit,Insurance_type,Insurance_profit,Lottery_type,Lottery_profit,Disaster_type,Disaster_profit,Ill_type,Ill_profit,Preference_type,Preference_profit,Patience_type,Patience_profit,start,end,profit,cash_before_patience,patience_profit,realend,realprofit
11qpbunz,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,0,1,5.2,-116.6,-132.4,-15.8,-137.6,5.2,-132.4,-15.8
yaiqosbx,4,0,9,1,-5,0,0,0,0,1,1.5,1,-1.5,1,-2.12,1,-0.08,0,0,0,0,1,5.7,1,0,17.2,24.7,7.5,24.7,0,24.7,7.5
xp91b3qj,4,0,9,1,-5,1,-6.36,1,2.28,1,-0.1,1,0,1,-5.377,1,-2,0,0,3,-35,1,5.7,0,5,53.95,22.09,-31.86,17.09,5,22.09,-31.86
9t4dpmrw,4,0,3,1,-5,1,-2.156,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-7,6,0,1,6.4,3.58,-12.18,-15.76,-18.58,6.4,-12.18,-15.76
i6lqx8ts,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,7.2,1,6.6,-65.6,-67.8,-2.2,-74.4,6.6,-67.8,-2.2
sqfmjhqp,4,0,3,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,3,-15,0,0,0,3,0,5,-20.63,-26.63,-6,-31.63,5,-26.63,-6
5kkr5060,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,0,0,2,7.2,0,5,-36.4,-35.2,1.2,-40.2,5,-35.2,1.2
g7uoijja,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,3,5,0,5,-0.1,-16.1,-16,-21.1,5,-16.1,-16
8g2iaxf0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,2,4.8,1,0,-7.1,-17.3,-10.2,-17.3,0,-17.3,-10.2
1yemb6kz,5,0,21,1,-5,0,0,0,0,1,0.2,1,-5,1,-0.287,1,79,0,0,1,-7,2,1.6,1,6.2,-8.33,82.38,90.71,76.18,6.2,82.38,90.71
x6cv314a,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,1,1.8,1,0,-24.3,-59.5,-35.2,-59.5,0,-59.5,-35.2
26ovv9nz,5,0,21,2,-10,1,-0.37,1,3.57,1,0.8,1,2,1,-1.828,0,0,0,0,2,-15,2,1.6,0,5,1.28,8.05,6.77,3.05,5,8.05,6.77
qrj0woux,5,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,6,0,0,5,-131.7,-155.7,-24,-160.7,5,-155.7,-24
edydbr11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,2,-30,0,2,1,6.2,-43.8,-70.6,-26.8,-76.8,6.2,-70.6,-26.8
i3ugntg2,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,2,-30,6,8,1,6.6,-91.9,-107.3,-15.4,-113.9,6.6,-107.3,-15.4
nil7z8nt,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,2,1.6,1,6.8,-38.6,-58.2,-19.6,-65,6.8,-58.2,-19.6
i3wgnab9,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,6,0,0,5,-41.5,-39.5,2,-44.5,5,-39.5,2
7rmwik5s,5,1,6,1,-5,0,0,0,0,1,-0.3,1,0,1,-0.634,1,-1,0,0,2,-21,4,6,0,5,5.64,-5.29,-10.93,-10.29,5,-5.29,-10.93
mzj836b0,5,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,8,1,0,-55.2,-103.2,-48,-103.2,0,-103.2,-48
1gblxsq7,5,0,-30,1,-5,0,0,0,0,1,1.5,1,-7.5,1,-1.74,0,0,0,0,1,-7,6,8,1,0,58.4,16.66,-41.74,16.66,0,16.66,-41.74
t9m6tgki,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,1,1.8,1,5.4,-125.3,-114.1,11.2,-119.5,5.4,-114.1,11.2
4hjk8ew7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,5,6.4,1,0,-1.14,4.26,5.4,4.26,0,4.26,5.4
luq8s82b,5,0,3,1,-5,0,0,0,0,1,2,1,8,1,-4.243,1,-0.01,0,0,2,-21,2,1.6,0,5,34.43,23.78,-10.65,18.78,5,23.78,-10.65
